거래일자,거래유형,거래가격(USD),주식수량,거래금액(KRW),거래금액(USD),드로우다운(%),거래사유,포트폴리오 가치(KRW),포트폴리오 가치(USD),현금잔고(KRW)
2024-08-06,SELL,54.783573150634766,693.8988787434555,49418537.9776212,38014.25998278554,36.865656213639056,드로우다운 4.3% 회복,148856866.08610514,114505.28160469625,49418537.9776212
2024-08-06,BUY,54.783573150634766,693.8988787434555,49418537.9776212,38014.25998278554,35.28788791056695,고점대비 35.3% 하락 (매수단계: 7),99438328.10848394,76491.02162191072,0.0
2024-08-08,SELL,57.873626708984375,693.8988787434555,52205978.086836025,40158.44468218156,35.28788791056695,드로우다운 10.3% 회복,157253099.8890624,120963.92299158647,52205978.086836025
2024-08-08,BUY,57.873626708984375,425.32991303901287,32000000.0,24615.384615384617,31.637817629819764,고점대비 31.6% 하락 (매수단계: 6),105047121.80222636,65262.41824260796,20205978.086836025
2024-08-09,SELL,58.66108703613281,420.4061268859816,32059924.519716684,24661.480399782064,30.837161441865156,드로우다운 0.4% 회복,138261441.4857664,106354.95498905108,52265902.606552705
2024-08-09,SELL,58.66108703613281,425.32991303901287,32435409.562208034,24950.315047852335,31.637817629819764,드로우다운 2.9% 회복,170696851.04797444,131305.2700369034,84701312.16876075
2024-08-09,BUY,58.66108703613281,419.62032855310974,32000000.0,24615.384615384617,30.707644258026455,고점대비 30.7% 하락 (매수단계: 6),106201516.9660497,41154.00369022228,52701312.16876075
2024-08-12,SELL,59.0598030090332,419.62032855310974,32217502.125812188,24782.693942932452,30.707644258026455,드로우다운 1.5% 회복,138782656.85044932,106755.88988496101,84918814.29457293
2024-08-12,BUY,59.0598030090332,416.7874486750268,32000000.0,24615.384615384617,30.236668174388537,고점대비 30.2% 하락 (매수단계: 6),106565154.72463715,41266.41571543401,52918814.294572935
2024-08-13,SELL,63.3559684753418,194.87575157569717,16050504.565469932,12346.541973438409,25.397385648127997,드로우다운 0.9% 회복,126518035.24476823,97321.56557289865,68969318.86004287
2024-08-13,SELL,63.3559684753418,416.7874486750268,34327764.196925074,26405.972459173136,30.236668174388537,드로우다운 16.8% 회복,160845799.4416933,123727.53803207177,103297083.05696794
2024-08-13,BUY,63.3559684753418,194.26255495537842,16000000.0,12307.692307692309,25.16189985933036,고점대비 25.2% 하락 (매수단계: 5),110467530.67929831,17823.421247946437,87297083.05696794
2024-08-14,SELL,63.465614318847656,194.26255495537842,16027690.106209593,12328.992389391995,25.16189985933036,드로우다운 0.5% 회복,126535320.29523203,97334.8617655631,103324773.16317753
2024-08-14,BUY,63.465614318847656,193.92693885950837,16000000.0,12307.692307692309,25.03238267549166,고점대비 25.0% 하락 (매수단계: 5),110507630.18902244,17832.966942957617,87324773.16317753
2024-08-15,SELL,68.240234375,45.20843787251414,4010544.7149923886,3085.034396147991,19.604385677237033,드로우다운 1.1% 회복,116262258.45701432,89432.50650539564,91335317.87816992
2024-08-15,SELL,68.240234375,193.92693885950837,17203705.68721889,13233.619759399146,25.03238267549166,드로우다운 22.5% 회복,133465964.14423321,102666.12626479477,108539023.56538881
2024-08-15,BUY,68.240234375,45.08957369657447,4000000.0,3076.923076923077,19.39244846731916,고점대비 19.4% 하락 (매수단계: 3),112251713.74202193,5932.838597410092,104539023.56538881
2024-08-16,SELL,68.41966247558594,45.08957369657447,4010517.4375339877,3085.013413487683,19.39244846731916,드로우다운 1.1% 회복,116282510.61384386,89448.0850875722,108549541.0029228
2024-08-16,BUY,68.41966247558594,44.9713279135367,4000000.0,3076.923076923077,19.180502245315992,고점대비 19.2% 하락 (매수단계: 3),112271993.17630987,5940.34782568236,104549541.0029228
2024-08-19,SELL,71.07112884521484,44.9713279135367,4155011.9526283857,3196.1630404833736,19.180502245315992,드로우다운 16.3% 회복,116726273.22655727,89789.44094350559,108704552.95555119
2024-08-19,BUY,71.07112884521484,43.29357260701852,4000000.0,3076.923076923077,16.048505205966254,고점대비 16.0% 하락 (매수단계: 3),112571261.27392888,6051.314091059765,104704552.95555119
2024-08-20,BUY,70.63253784179688,43.56240297941418,4000000.0,3076.923076923077,16.566582953406346,고점대비 16.6% 하락 (매수단계: 3),112522714.59187931,9090.893566406237,100704552.95555119
2024-08-21,SELL,71.59942626953125,43.29357260701852,4029733.4477670663,3099.79495982082,16.048505205966254,드로우다운 3.9% 회복,116714226.79023938,89780.17445403029,104734286.40331826
2024-08-21,SELL,71.59942626953125,43.56240297941418,4054755.9783226266,3119.0430602481742,16.566582953406346,드로우다운 6.9% 회복,120768982.768562,92899.21751427847,108789042.38164088
2024-08-21,BUY,71.59942626953125,42.974130342053385,4000000.0,3076.923076923077,15.424463359609872,고점대비 15.4% 하락 (매수단계: 3),112684493.34247231,6073.42381602418,104789042.38164088
2024-08-22,BUY,68.16049194335938,45.1423249626773,4000000.0,3076.923076923077,19.486642782838214,고점대비 19.5% 하락 (매수단계: 3),112305273.3019709,8858.63916948463,100789042.38164088
2024-08-23,SELL,70.30359649658203,45.1423249626773,4125768.1388217416,3173.6677990936473,19.486642782838214,드로우다운 13.0% 회복,116793135.17306545,89840.87321005035,104914810.52046262
2024-08-23,BUY,70.30359649658203,43.76622577299682,4000000.0,3076.923076923077,16.955139010965095,고점대비 17.0% 하락 (매수단계: 3),112667367.03424372,9040.428087523924,100914810.52046262
2024-08-26,BUY,68.240234375,45.08957369657447,4000000.0,3076.923076923077,19.39244846731916,고점대비 19.4% 하락 (매수단계: 3),112322437.59747633,11852.020828472083,96914810.52046262
2024-08-27,SELL,68.81837463378906,45.08957369657447,4033888.5271473136,3102.991174728703,19.39244846731916,드로우다운 3.5% 회복,116486861.5717424,89605.27813210954,100948699.04760993
2024-08-27,BUY,68.81837463378906,44.71077809228499,4000000.0,3076.923076923077,18.70953066772072,고점대비 18.7% 하락 (매수단계: 3),112452973.04459509,11926.364613065509,96948699.04760993
2024-08-28,BUY,66.48588562011719,92.55868514721467,8000000.0,6153.846153846154,21.464741432908944,고점대비 21.5% 하락 (매수단계: 4),111927480.41337025,17675.98566596948,88948699.04760993
2024-08-29,BUY,66.13700866699219,93.04693813461554,8000000.0,6153.846153846154,21.876846069347454,고점대비 21.9% 하락 (매수단계: 4),111806901.93036383,23737.079140579932,80948699.04760993
2024-08-30,SELL,68.38975524902344,92.55868514721467,8229085.570406263,6330.065823389433,21.464741432908944,드로우다운 10.5% 회복,121087073.9117351,93143.903009027,89177784.61801618
2024-08-30,SELL,68.38975524902344,93.04693813461554,8272494.523406598,6363.457325697383,21.876846069347454,드로우다운 12.2% 회복,129359568.4351417,99507.36033472438,97450279.14142278
2024-08-30,BUY,68.38975524902344,44.990994129446214,4000000.0,3076.923076923077,19.215829619678285,고점대비 19.2% 하락 (매수단계: 3),112857988.34132884,14929.007076850816,93450279.14142278
2024-09-03,BUY,62.14984893798828,198.0325377777289,16000000.0,12307.692307692309,26.58660690572665,고점대비 26.6% 하락 (매수단계: 5),111087221.84745464,25874.57131233219,77450279.14142278
2024-09-04,BUY,61.621551513671875,199.73032170346474,16000000.0,12307.692307692309,27.21064875208303,고점대비 27.2% 하락 (매수단계: 5),110801295.00294682,37962.31989348004,61450279.14142278
2024-09-05,SELL,61.8209114074707,199.73032170346474,16051763.68044017,12347.510523415516,27.21064875208303,드로우다운 0.9% 회복,127012720.57179037,97702.09274753105,77502042.82186295
2024-09-05,BUY,61.8209114074707,199.08623194780324,16000000.0,12307.692307692309,26.97515845724275,고점대비 27.0% 하락 (매수단계: 5),110960956.89135018,38045.318514990184,61502042.82186295
2024-09-06,BUY,56.80706024169922,433.31558631361276,32000000.0,24615.384615384617,32.89768011801506,고점대비 32.9% 하락 (매수단계: 6),106949698.75362039,59575.11994750572,29502042.82186295
2024-09-09,SELL,58.92025375366211,433.31558631361276,33190383.591319423,25531.06430101494,32.89768011801506,드로우다운 7.6% 회복,143021095.43266845,110016.2272558988,62692426.41318238
